repr,algo,cluster,count
audio_pca_baseline,agglo6,1,844
audio_pca_baseline,agglo6,2,725
audio_pca_baseline,agglo6,4,510
audio_pca_baseline,agglo6,0,355
audio_pca_baseline,agglo6,3,319
audio_pca_baseline,agglo6,5,252
audio_pca_baseline,dbscan_eps0.4_ms10,-1,1498
audio_pca_baseline,dbscan_eps0.4_ms10,0,854
audio_pca_baseline,dbscan_eps0.4_ms10,1,562
audio_pca_baseline,dbscan_eps0.4_ms10,2,91
audio_pca_baseline,kmeans6,5,797
audio_pca_baseline,kmeans6,3,654
audio_pca_baseline,kmeans6,0,542
audio_pca_baseline,kmeans6,1,492
audio_pca_baseline,kmeans6,2,271
audio_pca_baseline,kmeans6,4,249
hybrid_pca_baseline,agglo6,5,735
hybrid_pca_baseline,agglo6,0,655
hybrid_pca_baseline,agglo6,4,542
hybrid_pca_baseline,agglo6,2,456
hybrid_pca_baseline,agglo6,1,316
hybrid_pca_baseline,agglo6,3,301
hybrid_pca_baseline,dbscan_eps0.9_ms5,0,2998
hybrid_pca_baseline,dbscan_eps0.9_ms5,-1,7
hybrid_pca_baseline,kmeans6,5,799
hybrid_pca_baseline,kmeans6,3,653
hybrid_pca_baseline,kmeans6,0,544
hybrid_pca_baseline,kmeans6,4,487
hybrid_pca_baseline,kmeans6,2,276
hybrid_pca_baseline,kmeans6,1,246
hybrid_spec_mmvae,agglo8,0,791
hybrid_spec_mmvae,agglo8,6,432
hybrid_spec_mmvae,agglo8,1,359
hybrid_spec_mmvae,agglo8,2,359
hybrid_spec_mmvae,agglo8,5,344
hybrid_spec_mmvae,agglo8,7,250
hybrid_spec_mmvae,agglo8,3,247
hybrid_spec_mmvae,agglo8,4,223
hybrid_spec_mmvae,dbscan_eps0.3_ms10,-1,2995
hybrid_spec_mmvae,dbscan_eps0.3_ms10,0,10
hybrid_spec_mmvae,kmeans8,4,432
hybrid_spec_mmvae,kmeans8,7,412
hybrid_spec_mmvae,kmeans8,1,404
hybrid_spec_mmvae,kmeans8,6,400
hybrid_spec_mmvae,kmeans8,2,357
hybrid_spec_mmvae,kmeans8,0,353
hybrid_spec_mmvae,kmeans8,5,333
hybrid_spec_mmvae,kmeans8,3,314
lyrics_baseline,agglo8,0,1481
lyrics_baseline,agglo8,2,683
lyrics_baseline,agglo8,1,601
lyrics_baseline,agglo8,4,102
lyrics_baseline,agglo8,7,55
lyrics_baseline,agglo8,3,36
lyrics_baseline,agglo8,5,26
lyrics_baseline,agglo8,6,21
lyrics_baseline,dbscan_eps1.1_ms20,0,2995
lyrics_baseline,dbscan_eps1.1_ms20,-1,10
lyrics_baseline,kmeans8,0,663
lyrics_baseline,kmeans8,3,621
lyrics_baseline,kmeans8,7,525
lyrics_baseline,kmeans8,4,511
lyrics_baseline,kmeans8,2,340
lyrics_baseline,kmeans8,5,162
lyrics_baseline,kmeans8,1,117
lyrics_baseline,kmeans8,6,66
